team1,team2,home_team,team1_goal_var,team2_goal_var,avg_goals_scored_1,avg_goals_conceded_1,avg_goals_scored_2,avg_goals_conceded_2,avg_goals_scored_home_1,avg_goals_scored_away_1,avg_goals_conceded_home_1,avg_goals_conceded_away_1,avg_goals_scored_home_2,avg_goals_scored_away_2,avg_goals_conceded_home_2,avg_goals_conceded_away_2,win_percentage_1,draw_percentage_1,loss_percentage_1,win_percentage_2,draw_percentage_2,loss_percentage_2,team_sos_avg_points_1,team_sos_avg_goal_difference_1,team_sos_avg_points_2,team_sos_avg_goal_difference_2,penalties_tried_1,penalties_scored_1,penalties_tried_against_1,penalties_conceded_1,penalties_tried_2,penalties_scored_2,penalties_tried_against_2,penalties_conceded_2,dfh_tried_1,dfh_scored_1,dfh_tried_against_1,dfh_conceded_1,dfh_tried_2,dfh_scored_2,dfh_tried_against_2,dfh_conceded_2,avg_fouls_favor_1,avg_fouls_against_1,avg_fouls_favor_2,avg_fouls_against_2,avg_cards_favor_1,avg_cards_against_1,avg_cards_favor_2,avg_cards_against_2,scoring_concentration_1,scoring_concentration_2,head_to_head_avg_team_goals_1,head_to_head_avg_team_goals_2,rest_1,rest_2,game_date,goals_scored_trend_1,goals_conceded_trend_1,goals_scored_trend_2,goals_conceded_trend_2,ref1_avg_fouls,ref1_avg_cards,ref2_avg_fouls,ref2_avg_cards,goals_scored
SL BENFICA 1617,AD VALONGO 1617,SL BENFICA 1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2016-10-01 00:00:00,0,0,0,0,0.0,0.0,0.0,0.0,19
UD OLIVEIRENSE/SIMOLDES 1617,RIBA D AVE HC 1617,UD OLIVEIRENSE/SIMOLDES 1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2016-10-01 00:00:00,0,0,0,0,0.0,0.0,0.0,0.0,11
FC PORTO FIDELIDADE 1617,OC BARCELOS 1617,FC PORTO FIDELIDADE 1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2016-10-01 00:00:00,0,0,0,0,0.0,0.0,0.0,0.0,6
AD SANJOANENSE 1617,AJ VIANA 1617,AD SANJOANENSE 1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2016-10-01 00:00:00,0,0,0,0,0.0,0.0,0.0,0.0,4
CD PAÇO ARCOS 1617,HC TURQUEL 1617,CD PAÇO ARCOS 1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2016-10-01 00:00:00,0,0,0,0,0.0,0.0,0.0,0.0,9
SPORTING CP 1617,VALENÇA HC 1617,SPORTING CP 1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2016-10-01 00:00:00,0,0,0,0,0.0,0.0,0.0,0.0,14
AD VALONGO 1617,SPORTING CP 1617,AD VALONGO 1617,0.0,0.0,4.0,15.0,12.0,2.0,0,4.0,0,15.0,12.0,0,2.0,0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,11.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,14.0,17.0,0.0,0.0,2.0,1.0,1.2570787221094177,0.7071067811865476,0,0,7,7,2016-10-08 00:00:00,4.0,15.0,12.0,2.0,24.0,1.0,29.0,2.0,6
AJ VIANA 1617,FC PORTO FIDELIDADE 1617,AJ VIANA 1617,0.0,0.0,2.0,2.0,4.0,2.0,0,2.0,0,2.0,4.0,0,2.0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,6.0,1.0,13.0,11.0,17.0,15.0,0.0,1.0,2.0,3.0,0.41573970964154905,0.7071067811865476,0,0,7,7,2016-10-08 00:00:00,2.0,2.0,4.0,2.0,29.0,4.0,29.0,4.0,12
HC TURQUEL 1617,AD SANJOANENSE 1617,HC TURQUEL 1617,0.0,0.0,3.0,6.0,2.0,2.0,0,3.0,0,6.0,2.0,0,2.0,0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,12.0,11.0,13.0,2.0,2.0,1.0,0.0,0.9921567416492215,0.6285393610547089,0,0,7,7,2016-10-08 00:00:00,3.0,6.0,2.0,2.0,19.0,0.0,0.0,0.0,9
SC TOMAR/IPT 1617,CD PAÇO ARCOS 1617,SC TOMAR/IPT 1617,0,0.0,0,0,6.0,3.0,0,0,0,0,6.0,0,3.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,-3.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,12.0,17.0,0,0,2.0,2.0,0.0,0.6666666666666666,0,0,0,7,2016-10-08 00:00:00,0,0,6.0,3.0,0.0,0.0,0.0,0.0,10
